gait number,px,py,pz,vx,vy,vz,ax,ay,az,
11,-0.468787,-0.882517,0.0386983,-1.49253,-2.95521,0.102103,0.465782,0.929418,1.18556,
11,-0.483458,-0.911545,0.039544,-1.44174,-2.85044,0.208582,0.651916,1.28555,1.0032,
11,-0.49756,-0.939338,0.0413766,-1.37866,-2.70802,0.299489,0.716412,1.69684,0.86806,
11,-0.511014,-0.965539,0.0440198,-1.31203,-2.53231,0.370698,0.724224,1.96427,0.601637,
11,-0.523778,-0.989899,0.047189,-1.24077,-2.33967,0.404674,0.810886,2.04217,0.108955,
11,-0.535781,-1.01228,0.0504691,-1.15992,-2.13729,0.392896,0.919737,2.16262,-0.331155,
11,-0.546943,-1.03257,0.0534431,-1.07232,-1.91904,0.343457,0.948643,2.36584,-0.658849,
11,-0.557217,-1.05058,0.0557696,-0.982563,-1.68311,0.26337,0.963448,2.5231,-0.955989,
11,-0.566571,-1.06619,0.057147,-0.88823,-1.43895,0.153656,1.04204,2.53353,-1.26287,
11,-0.574966,-1.07935,0.0573352,-0.790757,-1.19335,0.0255376,1.02748,2.55249,-1.3312,
11,-0.582382,-1.09002,0.0561325,-0.692371,-0.941096,-0.124534,1.06064,2.66922,-1.71045,
11,-0.588758,-1.09808,0.0532985,-0.582842,-0.670385,-0.300716,1.25465,2.92875,-1.86351,
11,-0.593969,-1.10356,0.0486432,-0.459345,-0.425144,-0.488811,1.34542,2.14997,-1.95332,
11,-0.598114,-1.10731,0.0425383,-0.369702,-0.325756,-0.590614,0.564447,-0.044834,-0.104251,
11,-0.601814,-1.11062,0.036482,-0.3703,-0.3363,-0.479108,-0.494349,-0.0912357,2.39548,
11,-0.605386,-1.11412,0.0316687,-0.344176,-0.36427,-0.342016,1.10923,-0.400103,0.417395,
11,-0.608227,-1.1178,0.0275523,-0.223922,-0.370872,-0.33971,1.42473,0.344397,-0.352472,
11,-0.609984,-1.12124,0.0234484,-0.127535,-0.318312,-0.339533,0.622637,0.806052,0.374018,
11,-0.610939,-1.12402,0.0196947,-0.0634576,-0.237535,-0.269656,0.766015,0.919664,1.06851,
11,-0.611436,-1.12579,0.0169285,-0.0358868,-0.115559,-0.142053,-0.12163,1.64601,1.55089,
11,-0.611822,-1.12647,0.0151497,-0.0412847,-0.0205416,-0.072156,0.0938688,0.370028,-0.107945,
11,-0.612184,-1.12658,0.013724,-0.0311214,-0.00135109,-0.0714367,0.195623,0.100107,0.140532,
11,-0.612454,-1.12655,0.0123488,-0.0229104,0.00750844,-0.0620617,0.0540655,0.159407,0.0685204,
11,-0.612631,-1.12642,0.0110637,-0.012565,0.0180048,-0.0534213,0.239139,0.133477,0.125556,
11,-0.612682,-1.12621,0.0098675,0.00241288,0.0242765,-0.0442694,0.148508,0.0732787,0.0789478,
11,-0.61261,-1.12595,0.00875161,0.0118808,0.0268667,-0.037365,0.126805,0.058421,0.0797365,
11,-0.612454,-1.12568,0.00770481,0.0194737,0.027492,-0.0304506,0.110283,0.0332183,0.0791512,
11,-0.612228,-1.12542,0.00672588,0.0257391,0.0255783,-0.0237917,0.099741,0.00665909,0.0745264,
11,-0.611952,-1.12518,0.00581189,0.0293837,0.0216319,-0.0174616,0.0568497,-0.00822439,0.0724498,
11,-0.611662,-1.12498,0.00495918,0.0286798,0.0180519,-0.0115367,0.011088,0.0141277,0.0662651,
11,-0.611398,-1.12482,0.00415858,0.0240866,0.0151385,-0.00703972,-0.0224435,0.00536756,0.0433368,
11,-0.611193,-1.12468,0.00339647,0.0169201,0.011857,-0.00383811,-0.0413736,0.00662437,0.0398568,
11,-0.611055,-1.12458,0.00266114,0.010642,0.00888042,-0.00168393,-0.00433214,0.011582,0.0219826,
11,-0.610967,-1.1245,0.00194244,0.00690199,0.00653991,-0.000512357,0.0103714,0.019593,0.019824,
11,-0.61091,-1.12444,0.00123368,0.00451505,0.00465283,0.000303153,0.0232534,0.020826,0.0147234,
11,-0.610872,-1.12441,0.000530767,0.00302807,0.00290487,0.000658792,0.0287191,0.0224294,0.0104485,
12,0,0,0,0,0,0,0,0,0,
12,-1.00399e-05,-2.71138e-05,-0.000683534,-0.00200798,-0.00542276,0.00151839,-0.00577176,-0.0130558,0.000181303,
12,-4.04233e-05,-0.000109887,-0.0013491,-0.0040687,-0.0111318,0.00359442,-0.00107513,-0.00583586,0.0113687,
12,-9.446e-05,-0.000250845,-0.00199019,-0.00673864,-0.01706,0.00641279,-0.0181922,-0.0175251,0.0153156,
12,-0.000177738,-0.000453705,-0.00259817,-0.00991692,-0.0235119,0.0102156,-0.0114389,-0.0165113,0.0314391,
12,-0.000290774,-0.000720165,-0.00316208,-0.0126903,-0.0297802,0.0152271,-0.00993711,-0.013783,0.0399566,
12,-0.000431378,-0.00105009,-0.00367285,-0.0154305,-0.036204,0.0208443,-0.0107619,-0.0196826,0.0437888,
12,-0.000600316,-0.00144517,-0.00412407,-0.0183572,-0.0428131,0.0271379,-0.0137406,-0.0175581,0.0537466,
12,-0.000795978,-0.00190762,-0.00450542,-0.0207752,-0.0496756,0.0348164,-0.000391431,-0.0248505,0.0720238,
12,-0.00101264,-0.0024353,-0.00480739,-0.0225579,-0.0558614,0.0430148,-0.000787548,-0.00376222,0.0643449,
12,-0.0012649,-0.00306644,-0.00500787,-0.027893,-0.0703657,0.0551146,-0.0728152,-0.194441,0.151562,
12,-0.00155814,-0.00387095,-0.00506539,-0.0307557,-0.0905373,0.0716074,0.0496185,-0.119305,0.153908,
